epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,4255.68,0.7941,0.59595,1.13381,0.90161,0.91642,0.96046,0.65876,1.13108,0.5897,1.36757,0.00274192,0.00274192,0.00274192
73,4310.03,0.79932,0.5877,1.13323,0.92317,0.8583,0.94352,0.65624,1.10407,0.58763,1.33399,0.00263159,0.00263159,0.00263159
74,4369.72,0.81981,0.60891,1.14816,0.98303,0.88571,0.95802,0.65288,1.11483,0.56543,1.33054,0.0025241,0.0025241,0.0025241
75,4423.92,0.77658,0.55697,1.10768,1,0.89708,0.96693,0.67434,1.12884,0.54934,1.37558,0.00241954,0.00241954,0.00241954
76,4481.32,0.79006,0.57196,1.12012,0.9452,0.87143,0.96893,0.67763,1.1221,0.56304,1.35736,0.00231802,0.00231802,0.00231802
77,4541.03,0.76519,0.54319,1.10189,0.98404,0.88066,0.97847,0.67454,1.12845,0.54937,1.36536,0.00221964,0.00221964,0.00221964
78,4599.17,0.76257,0.55484,1.10065,0.95379,0.87143,0.95608,0.66922,1.12902,0.55241,1.37712,0.0021245,0.0021245,0.0021245
79,4656.01,0.76108,0.55327,1.09699,0.965,0.88571,0.97319,0.6575,1.15424,0.52758,1.3923,0.00203269,0.00203269,0.00203269
80,4715.19,0.75677,0.56583,1.10804,0.98418,0.88899,0.97972,0.70021,1.0427,0.50284,1.31436,0.0019443,0.0019443,0.0019443
81,4775.49,0.74244,0.55651,1.09676,0.99432,0.85714,0.96663,0.692,1.02729,0.49175,1.28232,0.00185942,0.00185942,0.00185942
82,4833.84,0.74146,0.54456,1.08924,0.96915,0.89756,0.97386,0.69797,1.0529,0.50156,1.3136,0.00177814,0.00177814,0.00177814
83,4887.69,0.72971,0.54492,1.10477,0.97651,0.88571,0.97026,0.67689,1.07838,0.53666,1.32578,0.00170052,0.00170052,0.00170052
84,4945.98,0.75626,0.55982,1.11252,0.9838,0.86755,0.97136,0.68225,1.09019,0.53839,1.34094,0.00162666,0.00162666,0.00162666
85,5012.19,0.71186,0.52432,1.07158,0.95514,0.91243,0.9754,0.70365,1.0815,0.52283,1.32681,0.00155662,0.00155662,0.00155662
86,5067,0.72746,0.53164,1.09089,0.93997,0.89486,0.96751,0.67704,1.06733,0.5367,1.31258,0.00149047,0.00149047,0.00149047
87,5119.74,0.69991,0.50973,1.07227,0.92882,0.91429,0.9793,0.68833,1.08384,0.50442,1.33655,0.00142828,0.00142828,0.00142828
